ID,Text,Translation
1000590,Game Progress,
1000001,Enter Mod Title,
1000002,No name provided,
1000591,Error,
1000003,Copying <ModLabel> to <u(path)>,
1000004,Confirm Copy,
1000005,Mod '<u(title)>' files will be copied to <u(path)>,
1000006,Error copying <u(file)>: <u(err)>,
1000007,Are you sure?,
1000008,Do you want to delete all <ModLabel> files?,
1000010,Please confirm the deletion of item '<u(name)>'!,
1000011,There is an active Steam upload,
1000592,Error,
1000009,Confirmation,
1000012,Mod <ModLabel> will be uploaded to Steam,
1000013,Mod <ModLabel> was not uploaded to Steam. Code: <err>,
1000593,Error,
1000014,Mod <ModLabel> was successfully uploaded to Steam!,
1000018,Tags,
1000019,Preview image,
1000021,Steam ID,
1000022,Author,
1000023,Version,
1000024,Game version,
1000025,Mod '<title>',
1000026,"<u(title)> (loaded)
id <u(id)>, version <version>",
1000027,"<color 128 128 128><u(title)>
id <u(id)>, version <version></color>",
1000028,"<u(title)> (id <u(id)>, version <version>)",
1000029,Savegame Mod <ModLabel> is present but not loaded,
1000030,Savegame Mod <ModLabel> is loaded with a different version <version>,
1000031,Savegame Mod <ModLabel>,
1000032,Savegame references Mod <ModLabel> which is not present,
1000033,Ignored Mod <ModLabel> because it was created with an old and unsupported game version,
1000034,Mod <ModLabel> ignored because a newer version is already loaded,
1000035,Mod <ModLabel> will replace an older version of the same mod,
1000036,Error loading <u(file)>: <u(err)>,
1000038,Comment,
1000039,<color 128 128 128><u(description)></color> <u(name)> <color 0 0 255><u(comment)></color>,
1000040,Please enter a valid name,
1000041,A code item with that name already exists,
1000042,File name,
1000043,Preview,
1000044,Error creating <file_name>,
1000594,Error,
1000045,Information,
1000046,Your code has been loaded and is currently active in the game.,
1000047,Copy from,
1000050,Invalid entity filename,
1000051,Failed to create path <u(entity_root)>,
1000052,Importing entity <u(entity_name)>,
1000053,Failed to copy entity <u(entity_name)> to <u(dest_path)>,
1000054,Failed to open entity file <u(dest_path)>,
1000056,Failed to copy <u(src)> to <dest>,
1000057,Importing <asset_type> <u(asset)>,
1000058,Missing file <u(src)> referenced in entity,
1000059,mesh,
1000060,animation,
1000061,material,
1000062,texture,
1000055,Failed to create path <u(dest_path)>,
1000063,Failed to generate backup for <u(asset)>,
1000064,Mod: <ModLabel> Entity: Failed to load <u(entity)>,
1000068,Image,
1000065,Failed to open entity file <u(filename)>,
1000098,Default value,
1000101,Modified value,
1000103,Filename,
